EventId;ProcessId;EventType;Severity;EventDescription;KB_URL
ACCT_MALLOC_FAILURE;PFED;Memory Consumption;3;The accounting statistics process could not allocate memory from the heap.;KB18749
ACCT_XFER_POPEN_FAIL;ACCT;Communication Error;3;A call to the popen() function failed when the accounting statistics process invoked the indicated command to transfer the indicated file.;KB18750
ASP_IDS_INV_CLEAR_QUERY;ASP;Unexpected output;2;Intrusion detection services (IDS) received a request to clear information from IDS tables. The request included the indicated type of query, which IDS cannot interpret.;KB18751
ASP_IDS_INV_CLEAR_QUERY_VER;ASP;Unexpected output;2;Intrusion detection services (IDS) received a request to clear information from IDS tables. The request's version number did not match the version number of requests that IDS can service.;KB18752
ASP_L2TP_NO_MEM;ASP_L2TP;Memory Consumption;3;The Layer 2 Tunneling Protocol (L2TP) could not allocate the memory it needed to create a flow for the indicated tunnel and session.;KB18753
ASP_L2TP_OBJ_CAC_FAIL;L2TPD;Memory Allocation Error;3;The Layer 2 Tunneling Protocol (L2TP) could not allocate memory from an object cache for the flow defined by the indicated unit, tunnel, and session.;KB18754
ASP_PGCP_IPC_MSG_WRITE_FAILED;PGCPD;Write error;3;The Packet Gateway Control Protocol (PGCP) client on the Services Port Interface Card failed to write an interprocess communication (IPC) message to the end of its pipe.;KB18755
ASP_PGCP_IPC_PIPE_WRITE_FAILED;PGCPD;Write error;3;The Packet Gateway Control Protocol (PGCP) client on the Services Port Interface Card failed to write the contents of its interprocess communication (IPC) pipe to the socket layer.;KB18756
AUDITD_RADIUS_OPEN_FAILED;AUDITD;Initialization error;2;The audit process (auditd) could not create a RADIUS object handle, which it uses for various RADIUS operations.;KB18757
AUDITD_RADIUS_REQ_CREATE_FAILED;AUDITD;Event Processing Error;3;The audit process (auditd) could not create a RADIUS accounting request for the indicated reason.;KB18758
AUDITD_SOCKET_FAILURE;AUDITD;Socket Error;2;The audit process (auditd) listens on a Transmission Control Protocol (TCP) socket for system accounting events reported by other processes on the routing platform. The indicated socket operation failed with the indicated error.;KB18759
AUTHD_AUTH_CREATE_FAILED;AUTHD;Process Error;3;The generic authentication service process (authd) could not allocate an authentication object for the indicated reason.;KB18760
AUTHD_SERVER_INIT_BIND_FAIL;AUTHD;Bind failure;3;The generic authentication service process (authd) could not bind the server to the address specified.;KB18761
AUTHD_SERVER_INIT_LISTEN_FAIL;AUTHD;Socket Error;3;The generic authentication service process (authd) could not initialize listening on the server for the indicated socket.;KB18762
AUTHD_SETSOCKOPT_FAILED;AUTHD;Socket Error;3;The generic authentication service process (authd) could not set socket options during the indicated operation.;KB18763
AUTHD_SOCKET_FAILED;AUTHD;Socket Error;3;The generic authentication service process (authd) could not open a socket during the indicated operation.;KB18764
AUTOCONFD_AUTH_NO_MEM;AUTOCONFD;Memory allocation failure;3;Memory allocation (malloc) for username authentication failed;KB18765
AUTOD_RECV_FAILURE;AUTOCONFD;Socket Error;3;The autoinstallation process (autod) received the indicated error when it tried to receive data on a socket.;KB18766
AUTOD_SEND_FAILURE;AUTOCONFD;Socket Error;3;The autoinstallation process (autod) received the indicated error when it tried to send data on a socket.;KB18767
AUTOD_SOCKET_CREATE_FAILURE;AUTOCONFD;Socket Error;3;The autoinstallation process (autod) received the indicated error when it tried to create a socket.;KB18768
AV_PATTERN_KL_CHECK_FAILED;AVD;File signature mismatch;2;The device is unable to use Kaspersky's pattern file. The error message provides information you need to give Juniper Networks technical support;KB18769
AV_PATTERN_TOO_BIG;AVD;File system error;2;The pattern file size specified in the server initialization file (server.ini) exceeds the maximum prescribed limit;KB18770
AV_PATTERN_WRITE_FS_FAILED;AVD;File system error;2;The device is unable to save contents of an antivirus pattern file to the file system;KB18771
BFDD_READ_ERROR;BFDD;Read Error;3;The Bidirectional Forwarding Detection process (bfdd) could not read the message available on the indicated type of pipe.;KB18772
BFDD_WRITE_ERROR;BFDD;Write error;3;The Bidirectional Forwarding Detection process (bfdd) could not write a message to the indicated type of pipe.;KB18773
BOOTPD_HWDB_ERROR;BOOTPD;Database failure;3;The boot parameter process (tnp.bootpd) could not complete an operation in the hardware database maintained by the chassis process (chassisd), for the indicated reason.;KB18774
CFMD_RTSOCK_OPEN_FAILURE;CFMD;Initialization Error;3;The connectivity fault management process (cfmd) could not successfully open a routing socket to the kernel, for the indicated reason.;KB18775
CHASSISD_BUS_DEVICE_OPEN_FAILURE;CHASSISD;Initialization Error;3;The chassis process (chassisd) could not open the indicated bus device for the indicated reason.;KB18776
CHASSISD_CFEB_POWER_FAILURE;CHASSISD;CFEB Failure;2;The chassis process (chassisd) could not turn on or turn off the power to the indicated Compact Forwarding Engine Board (CFEB).;KB18777
CHASSISD_CLOCK_FAILURE;CHASSISD;Component Failure;3;The chassis process (chassisd) determined that the indicated clock source failed in the indicated way.;KB18778
CHASSISD_CMB_READBACK_ERROR;CHASSISD;ASIC Error;3;The chassis process (chassisd) could not read back information from the Chassis Management Bus (CMB) about the indicated component (field-replaceable unit, or FRU).;KB18779
CHASSISD_COMMAND_ACK_ERROR;CHASSISD;Acknowledgement error;3;The chassis process requested that the indicated component (field-replaceable unit, or FRU) confirm that it was online. The indicated error occurred when the FRU sent its response. In the normal case, the chassis process performed any additional action necessary to guarantee that the FRU came online.;KB18780
CHASSISD_COMMAND_ACK_SFM_ERROR;CHASSISD;Initialization error;3;The chassis process (chassisd) requires an acknowledgment from each Switching and Forwarding Module (SFM) before it registers a Flexible PIC Controller (FPC) as online. The acknowledgment message from the indicated SFM failed for the indicated FPC.;KB18781
CHASSISD_FAN_FAILURE;CHASSISD;Component Failure;3;The indicated fan or impeller failed. The chassis process (chassisd) raised an alarm and increased the speed of the remaining fans (and impellers, if applicable) to full speed.;KB18782
CHASSISD_FASIC_FTOKEN_ERROR;CHASSISD;ASIC Error;3;The chassis process (chassisd) detected an underflow or overflow error on the indicated F chip on the indicated Control Board (CB).;KB18783
CHASSISD_FASIC_FTOKEN_INIT_ERROR;CHASSISD;ASIC error;3;The chassis process (chassisd) encountered an error while initializing memory at the indicated address for the indicated F chip on the indicated Control Board (CB).;KB18784
CHASSISD_FASIC_HSL_CONFIG_ERROR;CHASSISD;ASIC error;3;The chassis process (chassisd) could not configure high speed links (HSL) for the indicated F chip on the indicated Control Board (CB).;KB18785
CHASSISD_FASIC_HSL_LINK_ERROR;CHASSISD;ASIC Error;3;The chassis process (chassisd) detected an error for the indicated high speed link (HSL) for the indicated F chip on the indicated Control Board (CB).;KB18786
CHASSISD_FASIC_INIT_ERROR;CHASSISD;Initialization  error;3;The chassis process (chassisd) detected that F chips were not yet initialized on the Control Board (CB).;KB18787
CHASSISD_FASIC_INPUT_DROP;CHASSISD;ASIC Error;3;The Packet Forwarding Engine divides packets into smaller units called cells for more efficient processing. As the indicated F chip on the indicated Control Board (CB) processed data that was received from the indicated Packet Forwarding Engine on the indicated Flexible PIC Concentrator (FPC), it dropped the indicated number of cells per second.;KB18788
CHASSISD_FASIC_OUTPUT_DROP;CHASSISD;ASIC Error;3;The Packet Forwarding Engine divides packets into smaller units called cells for more efficient processing. As the indicated F chip on the indicated Control Board (CB) processed data before sending it to the indicated Packet Forwarding Engine on the indicated Flexible Port Concentrator (FPC) for outgoing transmission, it dropped the indicated number of cells per second.;KB18789
CHASSISD_FASIC_PIO_READ_ERROR;CHASSISD;ASIC Error;3;The indicated routine failed with a read error at the indicated address and register for the indicated F chip and link on the indicated Control Board (CB).;KB18790
CHASSISD_FASIC_PIO_WRITE_ERROR;CHASSISD;ASIC Error;3;The indicated routine failed with a write error at the indicated address and register for the indicated F chip and link on the indicated Control Board (CB).;KB18791
CHASSISD_FASIC_PLL_ERROR;CHASSISD;ASIC error;3;The chassis process (chassisd) could not lock a phased-lock loop (PLL) for the indicated F chip on the indicated Control Board (CB).;KB18792
CHASSISD_FASIC_RESET_ERROR;CHASSISD;ASIC error;3;The chassis process (chassisd) could not reset the indicated F chip on the indicated Control Board (CB).;KB18793
CHASSISD_FASIC_SRAM_ERROR;CHASSISD;ASIC Error;3;The chassis process (chassisd) detected that sram failed to initialize for the indicated F chip on the indicated Control Board (CB).;KB18794
